Id;CodeEcole2;Ecole;CodeProvinceEducationnelle;ProvinceEduc;CodeAnnee;Annee;CodeOption;Option;PartTot;PartH;PartF;ReussTot;ReussH;ReussF;TypeEcole
8519;11071136;INSAINTITUTITUT INTO;11;KINSHASA-MONT AMBA;4;2022;103;CHIMIE-BIOLOGIE;35;20;15;0;0;0;PROTESTANT
8520;11071140;AUTODIDACTES;11;KINSHASA-MONT AMBA;4;2022;103;CHIMIE-BIOLOGIE;38;25;13;22;9;13;AUTODIDACTE
8521;11072017;COMPLEXE SCOLLEGEAIRE LES MARQUIS;11;KINSHASA-MONT AMBA;4;2022;103;CHIMIE-BIOLOGIE;25;14;11;9;2;7;PRIVEE AGREE
8522;11072027;COMPLEXE SCOLLEGEAIRE PAPA NZAU;11;KINSHASA-MONT AMBA;4;2022;103;CHIMIE-BIOLOGIE;9;5;4;0;0;0;PRIVEE AGREE
8523;11072037;COMPLEXE SCOLLEGEAIRE TSHUMBU;11;KINSHASA-MONT AMBA;4;2022;103;CHIMIE-BIOLOGIE;9;5;4;0;0;0;PRIVEE AGREE
8524;11072047;INSAINTITUTITUT MAMBO;11;KINSHASA-MONT AMBA;4;2022;103;CHIMIE-BIOLOGIE;31;20;11;18;8;10;PRIVEE AGREE
8525;11072052;LYCEE JULIE BILLIART;11;KINSHASA-MONT AMBA;4;2022;103;CHIMIE-BIOLOGIE;8;6;2;6;4;2;CATHOLIQUE
8526;11003016;COLLEGEEGE PASAINTEUR MUEPU DIPU;11;KINSHASA-MONT AMBA;4;2022;201;PEDAGOGIE GENERALE;5;5;0;0;0;0;PROTESTANT
8527;11003027;COLLEGEEGE SAINT MARCO;11;KINSHASA-MONT AMBA;4;2022;201;PEDAGOGIE GENERALE;16;12;4;3;3;0;PRIVEE AGREE
8528;11003037;COMPLEXE SCOLLEGEAIRE BANA MWINOTRE DAMEA;11;KINSHASA-MONT AMBA;4;2022;201;PEDAGOGIE GENERALE;23;14;9;9;3;6;PRIVEE AGREE
8529;11003047;COMPLEXE SCOLLEGEAIRELES COMPAGNONS;11;KINSHASA-MONT AMBA;4;2022;201;PEDAGOGIE GENERALE;19;11;8;8;2;6;PRIVEE AGREE
8530;11003057;COMPLEXE SCOLLEGEAIRELYS DE LA VALLEE;11;KINSHASA-MONT AMBA;4;2022;201;PEDAGOGIE GENERALE;14;8;6;8;2;6;PRIVEE AGREE
8531;11003067;ECOLLEGEE CHRETIENNE MOYEKOLI;11;KINSHASA-MONT AMBA;4;2022;201;PEDAGOGIE GENERALE;9;6;3;0;0;0;PRIVEE AGREE
8532;11003077;;11;KINSHASA-MONT AMBA;4;2022;201;PEDAGOGIE GENERALE;12;8;4;2;1;1;PRIVEE AGREE
8533;11003086;INSAINTITUTITUT 2 SANZA;11;KINSHASA-MONT AMBA;4;2022;201;PEDAGOGIE GENERALE;63;37;26;26;8;18;PROTESTANT
8534;11003091;LYCEE DE LIMETE;11;KINSHASA-MONT AMBA;4;2022;201;PEDAGOGIE GENERALE;135;78;57;63;19;44;NON-CONVENTIONNEE
8535;11003100;AUTODIDACTES;11;KINSHASA-MONT AMBA;4;2022;201;PEDAGOGIE GENERALE;0;0;0;0;0;0;AUTODIDACTE
8536;11006017;;11;KINSHASA-MONT AMBA;4;2022;201;PEDAGOGIE GENERALE;0;0;0;0;0;0;PRIVEE AGREE
8537;11006027;COLLEGEEGE PIERRE NENGENOTRE DAMEE;11;KINSHASA-MONT AMBA;4;2022;201;PEDAGOGIE GENERALE;51;31;20;31;11;20;PRIVEE AGREE
